product_name,category,total_revenue,units_sold,avg_price
Response Cookware,Home & Kitchen,87114.58,269,323.85
Early Mixer,Home & Kitchen,77371.65,175,442.12
Wonder Toaster,Home & Kitchen,74477.08,261,285.35
Leave Headphones,Electronics,71123.49,156,455.92
Well Laptop,Electronics,64954.09,155,419.06
Cup Skincare,Beauty,64687.69,154,420.05
Whether Jacket,Clothing,64306.09,149,431.58
Way Haircare,Beauty,64077.43,141,454.45
Or Skincare,Beauty,63913.63,141,453.29
Brother Comics,Books,63395.75,146,434.22
