state,total_revenue,total_customers,avg_revenue_per_customer
Utah,471788.66,32,14743.4
Connecticut,428640.3,30,14288.01
Montana,422846.93,28,15101.68
Pennsylvania,385828.35,28,13779.58
Delaware,371371.07,25,14854.84
Minnesota,353297.57,24,14720.73
North Dakota,347941.17,27,12886.71
Arizona,346208.55,26,13315.71
West Virginia,339427.74,24,14142.82
Alabama,327012.27,21,15572.01
Maryland,326709.62,24,13612.9
Texas,323044.38,24,13460.18
Iowa,320660.75,19,16876.88
Illinois,320250.09,21,15250.0
New Mexico,320140.52,21,15244.79
Kentucky,318860.06,21,15183.81
New York,318534.78,20,15926.74
Wisconsin,315502.15,17,18558.95
Hawaii,306739.29,22,13942.7
Arkansas,304395.56,22,13836.16
Maine,304265.46,21,14488.83
Colorado,302407.67,21,14400.37
Michigan,294804.63,20,14740.23
New Hampshire,288055.37,19,15160.81
Washington,287656.75,19,15139.83
New Jersey,286922.11,20,14346.11
South Dakota,286863.55,21,13660.17
Alaska,286165.76,20,14308.29
Louisiana,280881.95,16,17555.12
Wyoming,279518.04,20,13975.9
South Carolina,273293.32,18,15182.96
Georgia,271617.99,19,14295.68
California,267874.18,16,16742.14
Ohio,257435.9,18,14301.99
Missouri,248760.93,17,14633.0
North Carolina,244377.71,18,13576.54
Virginia,243613.75,18,13534.1
Nevada,240997.79,16,15062.36
Rhode Island,238594.49,18,13255.25
Kansas,237808.09,19,12516.22
Mississippi,234363.29,18,13020.18
Massachusetts,231445.62,18,12858.09
Idaho,227250.54,17,13367.68
Florida,226230.76,14,16159.34
Oklahoma,222872.69,16,13929.54
Indiana,217553.67,15,14503.58
Vermont,209791.27,16,13111.95
Nebraska,179226.31,12,14935.53
Oregon,173937.01,13,13379.77
Tennessee,131347.49,11,11940.68
