product_name,category,total_profit,profit_margin,revenue,units_sold
Early Mixer,Home & Kitchen,28263.15,36.53,77371.65,175
Recognize Tennis Racket,Sports,27000.8,45.24,59677.44,131
Wrong Makeup,Beauty,25494.36,45.1,56524.74,134
Magazine Yoga Mat,Sports,25436.83,44.64,56976.04,129
Or Skincare,Beauty,25195.03,39.42,63913.63,141
Rather Headphones,Electronics,25188.0,44.48,56631.93,131
Other Vacuum,Home & Kitchen,25107.98,44.43,56514.18,140
Response Cookware,Home & Kitchen,24896.99,28.58,87114.58,269
Indeed Jacket,Clothing,24883.86,44.72,55645.08,147
Agree Cricket Bat,Sports,24559.77,42.04,58415.97,140
