item_id,transaction_id,product_id,quantity,unit_price,line_total
ITEM00001,TXN00001,PROD0345,1,246.72,246.72
ITEM00002,TXN00001,PROD0272,3,459.54,1378.62
ITEM00003,TXN00001,PROD0317,3,12.33,36.99
ITEM00004,TXN00001,PROD0186,3,346.06,1038.18
ITEM00005,TXN00002,PROD0142,1,246.07,246.07
ITEM00006,TXN00002,PROD0124,2,291.49,582.98
ITEM00007,TXN00003,PROD0022,3,36.93,110.79
ITEM00008,TXN00004,PROD0259,2,441.27,882.54
ITEM00009,TXN00004,PROD0426,1,484.71,484.71
ITEM00010,TXN00004,PROD0491,1,53.06,53.06
ITEM00011,TXN00005,PROD0364,3,348.77,1046.31
ITEM00012,TXN00005,PROD0293,3,327.12,981.36
ITEM00013,TXN00005,PROD0219,1,12.15,12.15
ITEM00014,TXN00005,PROD0026,3,435.15,1305.45
ITEM00015,TXN00006,PROD0110,2,343.41,686.82
ITEM00016,TXN00006,PROD0030,1,480.23,480.23
ITEM00017,TXN00006,PROD0454,1,271.38,271.38
ITEM00018,TXN00006,PROD0184,2,141.35,282.7
ITEM00019,TXN00007,PROD0315,2,143.96,287.92
ITEM00020,TXN00007,PROD0357,2,86.8,173.6
ITEM00021,TXN00007,PROD0301,3,102.64,307.92
ITEM00022,TXN00007,PROD0385,3,98.3,294.9
ITEM00023,TXN00007,PROD0272,3,459.54,1378.62
ITEM00024,TXN00008,PROD0372,1,494.95,494.95
ITEM00025,TXN00008,PROD0453,3,423.31,1269.93
ITEM00026,TXN00008,PROD0425,3,184.6,553.8
ITEM00027,TXN00008,PROD0250,3,92.61,277.83
ITEM00028,TXN00009,PROD0484,1,83.57,83.57
ITEM00029,TXN00009,PROD0082,3,432.0,1296.0
ITEM00030,TXN00009,PROD0281,3,434.41,1303.23
ITEM00031,TXN00009,PROD0167,1,105.95,105.95
ITEM00032,TXN00009,PROD0306,1,435.95,435.95
ITEM00033,TXN00010,PROD0277,2,55.77,111.54
ITEM00034,TXN00010,PROD0196,3,357.9,1073.7
ITEM00035,TXN00011,PROD0011,2,291.75,583.5
ITEM00036,TXN00012,PROD0395,1,84.43,84.43
ITEM00037,TXN00012,PROD0202,2,287.51,575.02
ITEM00038,TXN00013,PROD0165,3,75.69,227.07
ITEM00039,TXN00013,PROD0014,1,64.95,64.95
ITEM00040,TXN00014,PROD0393,1,34.61,34.61
ITEM00041,TXN00014,PROD0176,2,479.86,959.72
ITEM00042,TXN00014,PROD0366,3,318.16,954.48
ITEM00043,TXN00014,PROD0217,3,473.03,1419.09
ITEM00044,TXN00015,PROD0394,1,32.08,32.08
ITEM00045,TXN00015,PROD0475,3,229.65,688.95
ITEM00046,TXN00016,PROD0292,1,100.58,100.58
ITEM00047,TXN00017,PROD0189,1,433.85,433.85
ITEM00048,TXN00017,PROD0040,2,175.18,350.36
ITEM00049,TXN00018,PROD0310,2,281.22,562.44
ITEM00050,TXN00018,PROD0402,2,384.81,769.62
ITEM00051,TXN00019,PROD0342,2,166.01,332.02
ITEM00052,TXN00019,PROD0194,3,181.9,545.7
ITEM00053,TXN00019,PROD0316,1,154.99,154.99
ITEM00054,TXN00019,PROD0086,1,379.96,379.96
ITEM00055,TXN00019,PROD0363,2,374.93,749.86
ITEM00056,TXN00020,PROD0011,3,291.75,875.25
ITEM00057,TXN00020,PROD0344,1,320.79,320.79
ITEM00058,TXN00020,PROD0128,2,29.46,58.92
ITEM00059,TXN00021,PROD0190,3,419.94,1259.82
ITEM00060,TXN00021,PROD0094,2,209.91,419.82
ITEM00061,TXN00021,PROD0115,3,413.95,1241.85
ITEM00062,TXN00021,PROD0417,3,21.56,64.68
ITEM00063,TXN00021,PROD0215,1,434.8,434.8
ITEM00064,TXN00022,PROD0287,1,71.86,71.86
ITEM00065,TXN00022,PROD0237,2,282.41,564.82
ITEM00066,TXN00023,PROD0032,2,258.26,516.52
ITEM00067,TXN00024,PROD0421,1,96.5,96.5
ITEM00068,TXN00024,PROD0268,3,240.92,722.76
ITEM00069,TXN00024,PROD0169,2,190.78,381.56
ITEM00070,TXN00024,PROD0022,1,36.93,36.93
ITEM00071,TXN00025,PROD0441,2,384.49,768.98
ITEM00072,TXN00025,PROD0416,3,487.1,1461.3
ITEM00073,TXN00025,PROD0309,1,245.25,245.25
ITEM00074,TXN00025,PROD0306,1,435.95,435.95
ITEM00075,TXN00026,PROD0128,2,29.46,58.92
ITEM00076,TXN00026,PROD0102,1,385.02,385.02
ITEM00077,TXN00026,PROD0197,2,418.24,836.48
ITEM00078,TXN00026,PROD0174,1,452.59,452.59
ITEM00079,TXN00027,PROD0434,3,158.58,475.74
ITEM00080,TXN00027,PROD0098,2,110.1,220.2
ITEM00081,TXN00027,PROD0421,2,96.5,193.0
ITEM00082,TXN00028,PROD0226,2,62.48,124.96
ITEM00083,TXN00029,PROD0016,1,179.59,179.59
ITEM00084,TXN00030,PROD0042,1,196.09,196.09
ITEM00085,TXN00030,PROD0483,2,306.44,612.88
ITEM00086,TXN00030,PROD0394,2,32.08,64.16
ITEM00087,TXN00030,PROD0205,1,267.65,267.65
ITEM00088,TXN00031,PROD0493,2,299.81,599.62
ITEM00089,TXN00031,PROD0499,2,344.19,688.38
ITEM00090,TXN00032,PROD0276,2,357.32,714.64
ITEM00091,TXN00032,PROD0127,1,317.96,317.96
ITEM00092,TXN00032,PROD0177,3,86.06,258.18
ITEM00093,TXN00032,PROD0297,2,113.51,227.02
ITEM00094,TXN00032,PROD0016,1,179.59,179.59
ITEM00095,TXN00033,PROD0130,1,311.92,311.92
ITEM00096,TXN00034,PROD0439,1,493.18,493.18
ITEM00097,TXN00034,PROD0179,2,178.61,357.22
ITEM00098,TXN00035,PROD0088,3,226.3,678.9
ITEM00099,TXN00035,PROD0439,1,493.18,493.18
ITEM00100,TXN00035,PROD0043,1,69.18,69.18
ITEM00101,TXN00035,PROD0411,2,364.11,728.22
ITEM00102,TXN00036,PROD0157,2,227.17,454.34
ITEM00103,TXN00037,PROD0276,1,357.32,357.32
ITEM00104,TXN00037,PROD0475,2,229.65,459.3
ITEM00105,TXN00037,PROD0281,1,434.41,434.41
ITEM00106,TXN00037,PROD0158,2,389.94,779.88
ITEM00107,TXN00037,PROD0395,2,84.43,168.86
ITEM00108,TXN00038,PROD0048,3,211.71,635.13
ITEM00109,TXN00038,PROD0066,1,91.46,91.46
ITEM00110,TXN00038,PROD0329,1,498.98,498.98
ITEM00111,TXN00038,PROD0116,1,76.88,76.88
ITEM00112,TXN00038,PROD0080,1,472.88,472.88
ITEM00113,TXN00039,PROD0337,3,102.84,308.52
ITEM00114,TXN00039,PROD0151,1,109.23,109.23
ITEM00115,TXN00039,PROD0336,1,161.93,161.93
ITEM00116,TXN00039,PROD0063,3,484.83,1454.49
ITEM00117,TXN00039,PROD0022,3,36.93,110.79
ITEM00118,TXN00040,PROD0485,1,120.28,120.28
ITEM00119,TXN00040,PROD0346,1,156.37,156.37
ITEM00120,TXN00041,PROD0149,2,311.08,622.16
ITEM00121,TXN00042,PROD0137,3,241.43,724.29
ITEM00122,TXN00042,PROD0216,3,137.31,411.93
ITEM00123,TXN00043,PROD0423,2,252.38,504.76
ITEM00124,TXN00043,PROD0019,2,408.95,817.9
ITEM00125,TXN00043,PROD0436,3,345.17,1035.51
ITEM00126,TXN00043,PROD0004,2,375.63,751.26
ITEM00127,TXN00043,PROD0275,1,73.2,73.2
ITEM00128,TXN00044,PROD0483,2,306.44,612.88
ITEM00129,TXN00044,PROD0032,2,258.26,516.52
ITEM00130,TXN00044,PROD0296,3,494.84,1484.52
ITEM00131,TXN00044,PROD0286,2,486.13,972.26
ITEM00132,TXN00045,PROD0084,1,400.48,400.48
ITEM00133,TXN00046,PROD0057,1,73.04,73.04
ITEM00134,TXN00046,PROD0441,2,384.49,768.98
ITEM00135,TXN00046,PROD0305,2,360.07,720.14
ITEM00136,TXN00046,PROD0257,3,497.98,1493.94
ITEM00137,TXN00046,PROD0077,1,341.59,341.59
ITEM00138,TXN00047,PROD0065,2,432.01,864.02
ITEM00139,TXN00048,PROD0132,1,273.85,273.85
ITEM00140,TXN00048,PROD0199,3,477.13,1431.39
ITEM00141,TXN00048,PROD0006,3,84.32,252.96
ITEM00142,TXN00049,PROD0207,3,191.64,574.92
ITEM00143,TXN00050,PROD0319,1,115.48,115.48
ITEM00144,TXN00050,PROD0052,2,105.84,211.68
ITEM00145,TXN00050,PROD0492,3,299.37,898.11
ITEM00146,TXN00051,PROD0012,1,386.75,386.75
ITEM00147,TXN00052,PROD0040,3,175.18,525.54
ITEM00148,TXN00052,PROD0320,1,453.42,453.42
ITEM00149,TXN00052,PROD0200,1,224.84,224.84
ITEM00150,TXN00053,PROD0407,2,279.7,559.4
ITEM00151,TXN00054,PROD0345,3,246.72,740.16
ITEM00152,TXN00054,PROD0042,1,196.09,196.09
ITEM00153,TXN00054,PROD0260,3,48.14,144.42
ITEM00154,TXN00054,PROD0134,1,52.75,52.75
ITEM00155,TXN00055,PROD0463,1,486.53,486.53
ITEM00156,TXN00055,PROD0311,1,230.76,230.76
ITEM00157,TXN00055,PROD0486,2,307.8,615.6
ITEM00158,TXN00055,PROD0219,1,12.15,12.15
ITEM00159,TXN00055,PROD0218,2,259.61,519.22
ITEM00160,TXN00056,PROD0478,1,159.96,159.96
ITEM00161,TXN00056,PROD0293,2,327.12,654.24
ITEM00162,TXN00057,PROD0381,3,150.88,452.64
ITEM00163,TXN00057,PROD0198,3,243.45,730.35
ITEM00164,TXN00057,PROD0254,1,271.34,271.34
ITEM00165,TXN00057,PROD0287,1,71.86,71.86
ITEM00166,TXN00057,PROD0112,3,452.51,1357.53
ITEM00167,TXN00058,PROD0403,2,92.19,184.38
ITEM00168,TXN00058,PROD0114,2,175.4,350.8
ITEM00169,TXN00058,PROD0281,2,434.41,868.82
ITEM00170,TXN00058,PROD0004,3,375.63,1126.89
ITEM00171,TXN00058,PROD0358,3,319.17,957.51
ITEM00172,TXN00059,PROD0023,3,108.89,326.67
ITEM00173,TXN00059,PROD0087,1,210.15,210.15
ITEM00174,TXN00059,PROD0463,1,486.53,486.53
ITEM00175,TXN00059,PROD0189,2,433.85,867.7
ITEM00176,TXN00059,PROD0465,1,264.04,264.04
ITEM00177,TXN00060,PROD0292,1,100.58,100.58
ITEM00178,TXN00061,PROD0414,3,349.22,1047.66
ITEM00179,TXN00061,PROD0008,3,146.44,439.32
ITEM00180,TXN00062,PROD0047,3,79.01,237.03
ITEM00181,TXN00063,PROD0004,1,375.63,375.63
ITEM00182,TXN00063,PROD0277,2,55.77,111.54
ITEM00183,TXN00063,PROD0219,1,12.15,12.15
ITEM00184,TXN00063,PROD0372,1,494.95,494.95
ITEM00185,TXN00064,PROD0121,3,64.56,193.68
ITEM00186,TXN00064,PROD0470,2,54.31,108.62
ITEM00187,TXN00064,PROD0041,2,264.56,529.12
ITEM00188,TXN00065,PROD0159,2,213.5,427.0
ITEM00189,TXN00065,PROD0366,2,318.16,636.32
ITEM00190,TXN00065,PROD0362,2,243.69,487.38
ITEM00191,TXN00066,PROD0268,3,240.92,722.76
ITEM00192,TXN00067,PROD0209,1,482.54,482.54
ITEM00193,TXN00067,PROD0042,1,196.09,196.09
ITEM00194,TXN00067,PROD0418,1,30.6,30.6
ITEM00195,TXN00068,PROD0184,1,141.35,141.35
ITEM00196,TXN00068,PROD0016,1,179.59,179.59
ITEM00197,TXN00068,PROD0098,3,110.1,330.3
ITEM00198,TXN00069,PROD0407,1,279.7,279.7
ITEM00199,TXN00069,PROD0392,3,363.16,1089.48
ITEM00200,TXN00069,PROD0156,2,467.61,935.22
ITEM00201,TXN00069,PROD0200,1,224.84,224.84
ITEM00202,TXN00070,PROD0126,1,80.64,80.64
ITEM00203,TXN00070,PROD0500,3,280.1,840.3
ITEM00204,TXN00070,PROD0462,3,205.96,617.88
ITEM00205,TXN00070,PROD0022,1,36.93,36.93
ITEM00206,TXN00071,PROD0063,1,484.83,484.83
